id,title_en,description_en
469,Rafael Méndez lozano,"According to the Ideam, the two main arteriae rivers of the country, the magdelena and Cauca, are at the lower levels of the past 15 years. The drought that has brought the phenomenon of the child accompanied by high temperatures is combined with the tragically sedimentation caused...."
470,“North Pass” - connecting Asia with Europe by air,"The World Aviation Forum of the International Civil Aviation Organization (ICAO) has taken place in Montreal, Canada. The Mongolian delegation was led by G.Nyamdavaa, who is the acting-director of the General Civil Aviation Authority (GCAA) of Mongolia. The theme of the forum was “Aviation Partnerships for Sustainable Development”."
471,Local train woes: Office timings in Maha may change,"""We have time and again asked the Railways to do something but till date nothing has been shown to us. Only discussions are done, no action.""

MUMBAI: The Maharashtra government is considering change in office timings to reduce peak hour crowding in suburban local trains which is resulting in many commuter deaths, the was informed today."
472,Occupation at wildlife area in Oregon stretches into second week; mother asks for supplies,"The group that seized the Malheur National Wildlife Refuge in Oregon's high desert country on Jan. 2 planned no media briefings. It was quiet at the entrance to the refuge Sunday. The leader of the occupation, Ammon Bundy, has repeatedly rejected calls to leave buildings at the refuge despite pleas...."
473,Family's urine undersøgt: Øko-video large-flowered deles on Facebook,"It is not a major scientific thesis, but it is effective. In large numbers, a video on the ecology of the Coop Sweden shared on Facebook. In the video, you see a family typically eat conventional because ecology is too expensive. Coop has cooperated with the institute halv-offentlige Swedish...."
474,Scientists of ITER participating in a volcanic monitoring mission in philippines,"Santa CRUZ DE TENERIFE, 11 (Europa Press) scientists of the institute of technology and renewable energy (ITER), subsidiary of the island council of TENERIFE, will travel next Friday to the philippines to implement a scientific issue that is to continue to strengthen the surveillance programme of Taal volcano."
475,#OperationHydrate distributes water ... and joy,January 11 2016 at 01:22pm Johannesburg - People in Gauteng have come together to make a difference by collecting water and distributing it to parts of the country in need. Water distribution project Operation Hydrate has pledged to deliver a million litres of drinking water to drought-affected areas by the end of this week.
476,"Dm Consus: in December price decrease CO2, in January expected increase in turnover","Dom Maklerski Consus (DM Consus) has published a commentary on the situation on the CO2 market in December 2015. Indicates that over the past month there has been a fall in the price of carbon credits. European units per month have lost 4,2%. average prices of closure (November and December)."
477,A mouse autochthonous donãna helps create new techniques to detect the effect of pollutants,"Córdoba, 11 (Europa Press) the use of copies of a mouse indigenous of Doñana national park has helped researchers of the university of Córdoba (UCO) to develop new techniques for detecting changes in cells that produce pollutants generated by human activity agricultural and industrial."
478,Scientists of ITER participating in a volcanic monitoring mission in philippines,"Scientists from the institute of technology and renewable energy (ITER), subsidiary of the island council of Tenerife, will travel next Friday to the philippines to implement a scientific issue that is to continue to strengthen the surveillance programme of Taal volcano."
479,"Two Recalls Involving Good Earth Egg, Shakti Announced Over Salmonella Fear","Two voluntary recalls were made close to the weekend, over fear of contamination with Salmonella. Shakti Group USA LLC has recalled 50 gm and 100 gm sizes of L.G. Compounded Asafoetida Powder, as it has the potential to be contaminated with Salmonella."
480,Seminar monitoring of the system maggiore-Lugano,"The management of complex water systems, there has to be a knowledge base organizzate, shared and updating. That is why Ticino and lombardy region were commissioned by developing and implementing a dedicated geo-portal greater lakes and Lugano, with the aim?."
481,"Fine dust on the increase, is warning next Sunday will be ""ecological""",The ceasefire is holding out for a few days. The rains that preceded the Epifania. But over the last Wednesday of forecasts Arpa Lazio says that there could be an increase to 70 to 80 of the level of fine particles in the capital. Especially in east north-east.
482,China monitoring N. Korea border for radiation,"The Chinese government has mobilised more than 500 people to carry out round the clock monitoring for radiation along the border after North Korea said last week it had carried out its fourth nuclear test, but nothing abnormal has been found. North Korea’s test on Wednesday angered both the United...."
483,"Mercedes has recovered from VW diesel hit, chief says","DETROIT: Mercedes-Benz has recovered from an initial hit to the image of its diesel vehicles due to the Volkswagen emissions-cheating scandal, Daimler chairman Dieter Zetsche said on Sunday. “For some time the entire industry was affected” by the VW scandal,“ Zetsche, who is also head of...."
484,"Serbia, in arrival bond for 1 billion euros","Europe is lagging, better focusing on balkan bonds. The yields on government bonds have become the stingy europe poiché doped by quantitative easing of the ecb and does more investirci money. Alternatively, the neighbouring countries of the former yugoslavia, have yet to return."
485,GWI boosting Bartica service,"The Guyana Water Inc (GWI) has begun a programme to boost the quality of service provided to customers of Bartica, Region 7. A release from GWI on Friday said that the programme, which is being led by GWI Senior Engineer and Head of Technical Services, Dwayne Shako is intended to provide improved...."
486,Did Kim just provoke China?,"North Korea may have served up 2016’s first “Black Swans” as the most isolated regime tested a hydrogen bomb. Or not, as there’s widespread skepticism Kim Jong Un has the technological prowess to move so rapidly up the weapons-of-mass-destruction ladder."
487,"Doubts, Fears About North Korea In China","North Korea says it successfully tested a miniaturized hydrogen nuclear bomb, claiming a significant advance in its strike capability and setting off alarm bells in Japan and South Korea. The test is the fourth time the isolated state has exploded a nuclear device. Photo: Reuters."
488,China says 500 people monitoring for radiation after North Korea test,"BEIJING (Reuters) - The Chinese government has mobilised more than 500 people to carry out round the clock monitoring for radiation along the border after North Korea said last week it had carried out its fourth nuclear test, but nothing abnormal has been found."
489,Lee Gooch’s Secret Sound – The Wrong Answers,Lee Gooch’s Secret Sound – THE WRONG ANSWERS. Turning on the radio. Taking plastic cap off Pringles box. Putting Cd in Player. Magnetic hook for hanging butchers knives. Opening/closing drawer on washing machine. Sitting on a leather settee. Clicking table onto baby chair. The clicking sound made by a slow cooker.
490,Vw-chef apologises for exhaust gas affair,"Detroit - Volkswagen-chef Matthias Müller, on his first official US-Besuch apologised for the exhaust gas affair and, at the same time, the commitment of the group on the north american market. Müller said on Sunday evening (local time) in Detroit, that the group customers, authorities and...."
491,Vw-chef apologises for exhaust gas affair,"Detroit - Volkswagen-chef Matthias Müller, on his first official US-Besuch apologised for the exhaust gas affair and, at the same time, the commitment of the group on the north american market. Müller said on Sunday evening (local time) in Detroit, that the group customers, authorities and...."
492,Fine dust; also Umbria suffers,"The front page of the newspapers in recent weeks have said a great deal in Milan and Rome, due to the high levels of fine dust that, in conjunction with the christmas period, have made life difficult for citizens, especially those with respiratory problems, and...."
493,"Make in India: Foxconn plans to double Andhra capacity, build campus","Firm's latest production targets are likely to be met with ease as many Chinese smartphone companies are making their way to India.

NEW DELHI: Taiwan's Foxconn will more than double smartphone manufacturing capacity at its Andhra Pradesh factory site this year and aims to establish a campus in the...."
494,"Mercedes has recovered from VW diesel hit, chi...","Dieter Zetsche, chairman of the board of management of Daimler AG, introduces the new Mercedes E-Class during a media preview ahead of the North American International Auto Show (NAIAS), in Detroit, Michigan, on January 10, 2016 ©Scott Olson (AFP)

Detroit: Mercedes-Benz has recovered from an...."
495,Vw-chef in Detroit: the american müller,"For years, Volkswagen has also done so, as if you were here in the home of the “big three” General Motors, Ford and Chrysler a large number. Although the sales in contrast to the competition increasingly dropped. In the heart mark VW as to the level of a niche players, with a market share of around two per cent."
496,Multi million euro project planned for Silvermines,"All News Multi million euro project planned for Silvermines. 11 Jan, 2016. A multi million euro hydro-electric power station is being planned for North Tipperary. Official plans for the 650 million euro project are set to be unveiled later this morning for the plant in the disused mines at Silvermines."
497,Tourists are 'risking their lives' at the Figure 8 Pools in Sydney,Tourists obsessed with getting the perfect Instagram picture are 'risking their lives' at the Figure 8 rock pool - where a freak wave smashed hundreds of swimmers Tourists are risking their lives by posing for pictures at the Figure 8 Pools The rogue wave hit visitors at Royal National Park on....
498,"Climate, at risk the production of electricity in the world by 2040","12:38 - climate change threaten around 60% of electricity generation worldwide. The alarm was sounded by a study published in the journal. Attualmente stations utilizzano water from lakes and rivers, but by 2040 extreme drought and higher."
499,Inadequate insured - the small and medium-sized enterprises must climate change almost alone figures,"Photo credit: FOCUS Online/Wochit, Getty, dpa/Mauricio Duenas, Commerzbank, dpa/Bernhard Krieger, dpa/Jimmy King/Sony Music, WetterOnline_ElNino, dpa/Oliver Berg, dpa/Henning Kaiser, dpa/Rolex Dela Pena, dpa/Jan - Peter clowns, dpa/Angelika Warmuth, dpa (3), Bongarts/Getty Images, dpa/Maja Hitij, dpa/Patrick Seeger, Colourbox."
500,Moody's cuts Malaysia's sovereign rating outlook due to growth risks,"Moody's said the changes in the external environment have reduced government revenues over the period.

KUALA LUMPUR: Moody's cut Malaysia's sovereign rating outlook to stable from positive on Monday due to the negative impact of changes in the external environment on the Southeast Asian economy's growth."
501,Linergy welcomes completion of merger with Ulster Farm By-Products,"Linergy have welcomed the news from the Competition and Markets Authority (CMA) to clear their recent acquisition of Ulster Farm By-Products (UFBP). An initial inquiry was opened on 20th May 2015, following the completion of the merger between the two rendering companies."
502,"Molisano the president of geologists more young d'italia: ""our territory is mistreated""","For once, Molise has a record of youth instead of longevity. Giancarlo De Lisio, 36 years old, has just been elected president of dell�ordine geologists in Molise following the resignation of dr Domenico Angelone predecessor. He will be leading the geologists molisani until 2017."
503,Ministry of Foreign Affairs of the Republic of Seychelles,"Source: 17 minutes ago Following the victory of President James Alix Michel in the run off general election in December 2015, the Ministry of Foreign Affairs and Transport has received and continues to receive multiple congratulatory messages from various nations, organisations and individuals which are transmitted to the President of the Republic."
504,'El Niño' more dangerous threat to latin america,"It is known as the 'child', but nothing is angelic, harmless or caring. On the contrary, this natural phenomenon has earned to be one of the most feared of the american continent, for his ferocity and great power devastating there where passes."
505,Climate change: fight against flooding in Hamburg,"The Hamburger environmental protection agency is launching a pilot project by the less rain in the sewerage system in the future. Current news and background of politics, economy, culture and Sport - from Hamburg, germany and the rest of the world."
506,Best ways to motivate employees to perform well,"M otivating employees is a purposeful challenge that requires more than an annual review or a promise of incredible perks. Various studies have shown that managers see motivation in terms of the size of the compensation. With profitability returning to some sectors and geographies, experts see signs of big bonuses making a comeback this year."
507,Volkswagen will propose a catalytic converter in the usa,"Volkswagen will propose to the us authorities to install a new catalytic converter on some 430 000 vehicles fitted with the software stealing the anti-pollution tests, confirmed Sunday the president of the executive board of the german group, Matthias Müller."
508,Study warns that new battery design may reduce incentive for effective recycling,"Montreal, Canada — A new report outlining best practices to recapture and recycle the materials used in electric-drive vehicle (EDV) batteries once they reach the end of their service lives has been released by the Commission for Environmental Cooperation (CEC)."
509,Suman Varandani,"works as a Correspondent for the International Business Times, where she covers Breaking News stories as well as Entertainment, Media & Culture and other trending topics.

By Suman Varandani Mexican drug lord Joaquin ‘El Chapo’ Guzman was recaptured Friday, six months after he escaped through a tunnel out of the maximum-security Altiplano prison."
510,Weather forecast: Little cloudy with increa...,NNA - The meteorology department at Rafik Hariri International Airport forecasted Tuesday's weather to be little cloudy with rise in temperatures. Coastal temperatures: 13 to 20 degrees Celsius. Mountain-range temperatures: 4 to 11 degrees Celsius. Arz temperatures: 1 to 8 degrees Celsius. Inland temperatures: 3 to 16 degrees Celsius.
511,Text of speech of the pope to diplomatic corps -,"Pope Francis met this morning in the vatican staging in the diplomatic corps accredited to the Holy See for the traditional exchange of new year's greetings. Below we publish the speech by the pope: world but arduous loved by god, excellencies, ladies and gentlemen, I wish you a...."
512,'Protect air and work’ the Cgil pushes for the yes,"The interior of the former Burgo mill. The group Pro Gest submitted an application to institutions to reopen the plant Mantoue. “It is more important what comes out of what we throw inside to burn’. Max. Marchini, provincial secretary of the Cgil, usa straight talking to warn the...."
513,UN didn’t take HIV rise into account,"AP Evaluations ought to take into account new challenges, say academics. File photo: Ben Curtis Johannesburg - When generic criteria to assess achievements are formulated long in advance of endpoints, unforeseen consequences may follow - one of which is South Africa’s failure to achieve the UN...."
514,HC: Odd-even scheme to continue till January 15,"The court, however, directed the government to take into consideration the contents of the petitions before taking any further future of action.

NEW DELHI: Delhi High Court on Monday refused to interfere with AAP government's odd-even vehicles policy to control rising air pollution in the city,...."
515,Jaguar Returns to Racing,"Jaguar Land Rover employs over 8,000 engineers and is the United Kingdom's largest investor in research and development across any business sector. Jaguar's Formula E team will be able to draw upon this industry-leading resource with Jaguar Land Rover engineers working closely with the race operations team."
516,"High yield, yes or no? The yield is here, but better with the etf","Somewhat contradictory reports on the high yield bonds, ossia rated under the triple B. while the market and some handicaps them us-producers specialist funds are compelled to stop the rimborsi, assessments of many operators in 2016 is this an asset which...."
517,Transelectrica report: Green energy production concentrated in Constanta county,"The neighbouring county Tulcea was an attraction for wind turbines. Out of the total of installed capacities 809 MW wind turbines are 796 MW and the rest is photovoltaic energy. At the same time, Dobrogea is considered the area with the biggest wind potential in southern-eastern Europe which drew to Romania investors for this sector."
518,Senegal: improvement of electricity production - the soulom solar 20 mgwtts of Sinthiou Mekhé demarre in 2017,"Sinthiou Mekhé in the commune of Méwouane, in the department of Tivaouane will welcome a solar central 20 Mgwtts in first quarter of 2017. The announcement was made yesterday to Thiès, during a meeting of consultation. This project, with a cost of 27 billion Cfa francs was financed by...."
519,Time for the world to face up to climate reality,"LONDON – Last year, three facts about climate change became clear: Achieving a low-carbon economy is essential; new technologies make that goal attainable at an acceptable cost; but technological progress alone will be insufficient without strong public policies."
520,CAR delegation on a 'benchmarking' visit,"A delegation from Central African Republic is expected to arrive in the country this afternoon for a weeklong benchmarking trip aimed at giving them insights to Rwanda’s post Genocide recovery process. The 21-person delegation is comprised of top officials in government, civil society, religious leaders, academics and members of the media."
521,Top foreign and local stories at 3.45pm,Energy Brent crude was 2.68% lower to US$32.65 per barrel at 2.15pm. Forex Ringgit down 0.17% to 4.3995 versus the US dollar at 2.41pm. Top foreign stories VW chief apologises over emissions scandal on first US trip: Volkswagen (VW) chief executive Matthias Mueller on Sunday apologised for cheating....
522,HC refuses to interfere in odd-even scheme,"New Delhi: The Delhi High Court on Monday refused to interfere in the Delhi government's 15-day odd-even restrictions for cars aimed at curbing air pollution. A division bench of Chief Justice G. Rohini and Justice Jayant Nath said it will not ""interfere unless the policy is unconstitutional or contrary to the statutory provisions""."
523,"Auzeville-tolosane. To Auzeville, the Inra prepares agriculture to warming","For researchers of the Inra ""the sharp drop of rainfall in the south-west could restrict the cultivation of maize especially if water resources for irrigation are affected’/Photo Archives DDM On the occasion of the Cop 21 the Inra has compiled a record of its work on global warming."
524,"At least his mother loves him! Bizarre 'monkey pig' with protruding forehead, closer eyes and short snout baffles locals","A piglet born with the face of a monkey has baffled locals and prompted both experts and social media users to speculate on what could have caused the defect. The facial deformity resulted in the mutant pig having a simian jaw, a considerably shorter snout and a protruding forehead so that it resembled a monkey."
525,Dawn of the Anthropocene: Humans have tipped the Earth into a new geological period - and now experts believe it started around 1950,"Humans have tipped the Earth into a new chapter of geological history and it started in around 1950, scientists claim. It is the latest date considered for the beginning of the Anthropocene epoch – a time in which humans permanently changed the planet with the widespread use of concrete, aluminium,...."
526,"High costs, high risks - study reveals: the small and medium-sized enterprises must climate change almost alone figures","Photo credit: FOCUS Online/Wochit, dpa/Mauricio Duenas, Commerzbank, dpa/Bernhard Krieger, dpa/Jimmy King/Sony Music, WetterOnline_ElNino, dpa/Oliver Berg, dpa/Henning Kaiser, dpa/Rolex Dela Pena, dpa/Jan - Peter clowns, dpa/Angelika Warmuth, livestock man, dpa (4), Bongarts/Getty Images, dpa/Patrick Seeger, Colourbox."
527,Farm in a box: Shipping containers reused for fresh produce,"Shipping containers have been turned into housing, art, even playgrounds. Now, a Boston company is recycling them into high-tech mobile farms as part of a new wave of companies hoping to bring more innovation to agriculture. Freight Farms and other indoor agriculture companies are looking to meet...."
528,Ubs: climate change debited middle class financially strong,Zurich – the UBS Group AG has its new study «Climate change: a risk to the global middle class'. Subject of the study are the financial damage of Climate change and its consequences for the global middle class. The middle class are estimated at one billion people in the world.
529,'Monkey pig' with protruding forehead and short snout baffles Cuba locals,"At least his mother loves him! Bizarre 'monkey pig' with protruding forehead, closer eyes and short snout baffles locals Piglet was born with facial deformity that caused it to resemble a monkey; The creature had a simian jaw, very short snout and protruding forehead; Branded a 'monkey pig' the...."
530,Hong Kong street sleepers claim compensation after belongings are allegedly dumped in government raid,"They want money and official apology after Food and Environmental Hygiene Department workers allegedly kick them out of ‘home’ in West Kowloon tunnel without proper notice.

A group of street sleepers have filed lawsuits against the government asking for an official apology and compensation as their...."
531,Tyre fire keeps burning in Melbourne,"Firefighters expect an out-of-control fire blazing inside a tyre dump in Melbourne's north to burn for another day and a half and are warning people to stay away from the toxic smoke. The fire, which has already burnt through more than 130,000 tyres, started about 9am on Monday at an industrial area...."
532,China's first voice of 2016: No absence from international affairs,"Xi had focused on world peace and development, expressing China's voice, put forward the nation's plans, initiated construction on a community of shared destiny; welcomed the world to embrace mutual benefits, and expand China's ""circle of friends."" In 2015, China's leaders have participated in...."
533,British households could chop another £303 off annual fuel bills by 2020 - CEBR,"British households could collectively save £1.5billion on energy bills through increased adoption of simple energy saving measures, according to a think-tank's calculations. Homes that take advantage of all available energy saving measures could see their annual dual fuel bill fall £303 compared to...."
534,DEWA certified by British Safety Council as occupational health and safety training centre,This move supports DEWA’s intensive efforts to apply comprehensive and integrated systems to manage occupational health and safety. It also supports international partnerships to improve occupational health and safety standards at DEWA. “This certification reflects DEWA’s global position as a....
535,India bets on technology to overcome challenges,". Irish Sun (IANS) Monday 11th January, 2016. Bengaluru, Jan 11 (IANS) Racing against time to realise the 'Vision 2020' former president A.P.J. Abdul Kalam conceived in 1996, India has embarked on a similar exercise for 2035, betting on emerging technologies to overcome major challenges it faces in...."
536,Queensland floods 2011: Photographer Michelle Smith's unforgettable photos,"As a news photographer I have been sent out countless times to capture weather photos. Rain, hail or shine. I've been out on days of almost 40 degrees and stuck in torrential rain with a raincoat and Ziplock bags keeping my camera dry, all for an image that will convey the weather of the day."
537,"Ago more harm the wireless, the cordless or the (t) ruthless?","The wireless is unhealthy. Brain cancer if they stand near the ear, testes, or at least infertility and sexual impotence if you stand in the pocket of my trousers. The waves malefiche passes through your skin, triggering a chain reaction and breaking up your physical integrity."
538,"In winter, Mumbai uses more power for ACs than any other Indian metro: Study","The Indian winter appears to be the warmest in Mumbai going by the pattern of electricity consumption through air conditioners and refrigerators.

MUMBAI: The Indian appears to be the warmest in Mumbai going by the pattern of electricity consumption through air conditioners and refrigerators."
539,Detroit Motor Show: Mercedes reveals the new e-klasse,"The model is in April in the trade, informed the manufacturer with the revelation. The autumn there is the tenth Generation of variant as Kombi again. Mercedes prices has not yet. With the new version, the E-Klasse once more in the length and now 4,92 metres."
540,Traditional Chinese medicine clinic opens at university,"A traditional Chinese medicine clinic has opened its doors to the public on the university campus, in conjunction with a new Masters’ course in the practice. The clinic is located at Triq l-Imhallef Paolo Debono, by the old university entrance gate, and is manned by professional practitioners from...."
541,Labour law to be strictly enforced,"The Labour Inspection Department has 350 young inspectors who are keen to implement the rules and work standards, says the Minister. By Mohamed Osman. Doha: The Ministry of Labour and Social Affairs yesterday launched a two-week training course for 130 labour inspectors."
542,China says 500 people monitoring for radiation after North Korea test,"The ministry was testing air, soil and snow samples, and would continue to test and maintain their current emergency response mechanism.

ET SPECIAL: Love visual aspect of news? Enjoy this exclusive slideshows treat! BEIJING: The Chinese government has mobilised more than 500 people to carry out...."
543,Weekly Update - 08/01/2016,"Newsroom. Keep up-to-date with all the latest news and publications from the S&D Group. Get in touch with our press and communications team.

Policies. The S&Ds are committed to fighting for social justice, jobs and growth, consumer rights, sustainable development, financial market reform and human rights."
544,China says 500 people monitoring for radiation...,"A man watches a news report at a railroad station in Seoul on January 6, 2016, after seismologists detected a 5.1 magnitude tremor next to North Korea's main atomic test site in the northeast of the country. PHOTO: AFP.

BEIJING: The Chinese government has mobilised more than 500 people to carry out...."
545,AP names former Beijing correspondent Gillian Wong its news director for greater China,"Wong, who currently covers technology at The Wall Street Journal, will be based in Beijing as the AP's greater China news director. In that role, she will oversee coverage in video, text and photos, across a territory that includes the mainland, Taiwan and Hong Kong."
546,Plight Of Flood-Hit Home And Land Owners To Be Raised At European Environment Commission,The plight of flood-hit home and land owners is set to be raised at the European Environment Commission in Brussels this week. A cross party delegation is asking for clarity - on whether or not rivers like the Shannon can be dredged in a bid to prevent future disasters.
547,Odisha to spend Rs 900 crore for development of 508 villages,"Forest and Environment Secretary S C Mohapatra said the money will mostly be spent in the eight mineral bearing districts.

BHUBANESWAR: The Odisha government on Monday decided to spend Rs 900 crore for the infrastructure development of 508 villages affected by mining activities in eight districts."
548,Why china's crisis just germany take so hard,"The german ones index has caught a rabenschwarzen Start to the year. Around seven percent, the stock market In the last week. Also In the united states turned negative In the ones index Dow Jones Industrial. In the first trading week of the new year, when they reached the losses on more than five per cent."
549,"The Prince’s Countryside Fund releases £718,000 of grant funding","The Prince’s Countryside Fund has announced £718,000 of grant funding to support vital rural initiatives to improve the lives of people living and working in the countryside. Significant funding has been awarded to projects across the UK which offer practical help to struggling farm businesses."
550,"Returns the blockade no-kat, iron fist of vigilant","Once again the blocking of cars to no-kat Trévise and Ca 'Sugana announced a tightening of controls by the vigilant but, not only will have to carefully monitor the car fleet operating in the city, but also to punish all motorists they misuse the...."
551,Several kommuner syringes against weeds again,"So far, the municipalities through a voluntary agreement brændt weeds on pavements and seats away, so as not to burden the groundwater, but now, several municipalities back to spray the funds, which also pollute less than in the past. Åbenrå, Tønder, gold borg healthy and municipality municipalities have made it, and recently is disc municipality."
552,If paaslelies thrive on christmas. To a nieuwjaarsbrief ministre-président Geert Bourgeois,"But politically, that you will surely agree, this is not only about postjes but also about achievements. May I ask you, therefore, that you wish this Nieuwjaarsbrief flemish leader wid‑compliant taught his people to look forward. And made us realise that vlaanderen-nederland other-than-complex Wallonië, for example, a low-lying......"
553,Winter Smog in China– Searching for Unknown Radicals,"Jülich, 8 January 2016. Fine dust and smog do not only result from traffic and industry. The majority of the pollutants are actually formed in the air – by hydroxyl radicals and other as yet unknown substances. Atmospheric chemists from Forschungszentrum Jülich intend to track down these trace substances in the RACE research project."
554,Smart firms detect their problems in advance,"“Firms today have to deal with strict statutory regulations, uncertainty and increasing pressure from globalisation”, says Rimmert van der Kooij at SINTEF. “This requires a new category of companies – those with the ability to be one step ahead. These are firms that must continuously be aware of...."
555,Detroit Motor Show: Mercedes reveals the new e-klasse,"Detroit (dpa/tmn) – it shows a new Design, offers more assistance systems and is less undenatured ethyl alcohol consumption – is now the new Mercedes E-Klasse at the Start. The saloon celebrates its world premiere in this week at the engine how in Detroit (visitors days from 16 to 24. January)."
556,"Monte Carlo rally: for the SAPN, ""such excesses are no longer acceptable""","The company alpine protection of nature (SAPN) has taken a stand against the Monte Carlo rally, which circulates through the department on 20 January. ""When the COP21 decides to reduce the CO2 emissions of a urgently to avoid a warming exceeding 2...."
557,"LIVE! Gurdaspur SP appears before NIA for questioning, lie-detector test likely","12:17 A 11-year-old Indian-origin girl in the UK has achieved the top possible score of 162 on a IQ test of Mensa, becoming one of the youngest brainiest students in the country. Mumbai-born Kashmea Wahi achieved the top score of 162 out of 162, putting her in the league of scientists Albert...."
558,"Climate, production of electricity in the world at risk by 2040","12:22 - climate change threaten around 60% of electricity generation worldwide. The alarm was sounded by a study published in the journal. Attualmente stations utilizzano water from lakes and rivers, but by 2040 extreme drought and higher."
559,Apply a critical eye to research of all kinds,"Paul Sheehan, the reality is that published research papers in general, not just the social sciences, are compromised by the desire of the authors to come up with results that seem to break new ground in their field ("" Distorted universities need a reality check "", January 11)."
560,"PETA files petition, demands notification on Jallikattu be 'struck down'","PETA India further claimed that along with these, individual petitioners Sowmya Reddy, Radha Rajan and Gauri Maulekhi have also filed their petitions.

ET SPECIAL: Love visual aspect of news? Enjoy this exclusive slideshows treat! People for the Ethical Treatment of Animals (PETA) India along with...."
561,"Ecology Action Centre's renovations add space, use less energy","""It helps improve the indoor air quality in the space,"" said Kim Thompson, a spokeswoman for the Ecology Action Centre. The Ecology Action Center has been working on the project since May 2015. The group first renovated the building on Fern Lane when it moved there in 2005."
562,Don’t let trade deals hamper climate progress,There is no reason free trade and climate progress can’t coexist; yet the way Canada currently approaches the former poses a distinct threat to the latter. Take TransCanada’s $US15 billion NAFTA lawsuit against the U.S. for rejecting the Keystone XL pipeline: an eye-popping illustration of the....
563,Dangerous Peelingeffekt So ill can make their toothpaste,"With just 0,3 to 5 mm diameter, the small beads actually absolutely harmless. There is talk of so-called micro plastic, small art substance part chen, the mostly from polyethylene. Because they are good clean, they are often in cosmetic products, as Peelings, Duschgel or toothpaste."
564,According to Official Figures to Date Mayo Had the highest Number of Homes Evacuated Due to Flooding in the past Month,"More than 500 families nationally have been forced to flee their homes due to rising waters since the flooding crisis began more than a month ago. Mayo was the worst hit county, with 90 homes evacuated. Residents have since returned to 70 of these properties. That’s according to the Irish Independent."
565,"""Thales Alenia Space has made a year 2015 extraordinary"" (Jean-Loïc water-extracted, ceo)","... But in June, you were clearly not in the nails of your forecasts. Has the mid-year terms, we had realised that 600 million of orders on A forecast of 2,1 billion for 2015. Indeed the first half was very low. It was worrying but I was not worried."
566,"Pollution falls, largely due to weather in Delhi","Data released by SAFAR of the ministry of earth sciences showed PM2.5 concentration on January 9 to be at the lowest level since December 25.

NEW DELHI: Whether due to odd-even rule or not, air pollution levels in the city have begun to fall. Data released by System of Air Quality and Weather...."
567,Global warming threatens the backyard rink,"A Canadian tradition, the backyard rink, may be in trouble in the coming years in much of the country, including P.E.I. That's the conclusion of a group of geographers at Wilfred Laurier University in Waterloo, Ontario, which has been studying ice conditions in rinks since 2012."
568,"Korea’s Green Growth Experience:Process, Outcomes and Lessons Learned","As various countries explore the merits of green growth in their policies and programs, the Republic of Korea’s (ROK) transition toward green growth serves as an exemplary model. The report examines why and how the ROK has pursued green growth as a national priority and as a development paradigm,...."
569,Bel Alma: features of national coal mining,"Way of Bel-Alma coalfield, called by the people ""coal Kumtor"", was a thorny one. It is situated in the Alay mountains, but administratively it belongs to Kadamjai district of Batken region. Explored reserves totaled 90 million tons of brown coal. Geologists discovered the coal deposits as far back...."
570,Delhi court rejects challenge to car restrictions,"NEW DELHI: A Delhi court on Monday rejected a legal challenge to driving restrictions aimed at reducing pollution in the smog-choked Indian capital. The court said the Delhi government could continue to ban most private cars from the city’s roads on alternate days until Friday, when a 15-day trial of the scheme is due to end."
571,Harder now to retool Singapore economy,"Singapore - Even as the Committee on the Future Economy (CFE) begins its work, private-sector economists caution against hopes for a big bang outcome that will significantly address Singapore's immediate challenges. That's largely because technological disruption and the rapidly-changing global...."
572,Vw-chef Müller apologises for exhaust gas affair,"Schummelsoftware eleven million vehicles in the united states ""are, and remain, a core market"" for the company, said Müller. Volkswagen is planning a large investment of 900 million Dollars (823 million Euro) Chattanooga at the site for the construction of a new sport terrain wagon."
573,A day in the life of a volunteer working to implement Delhi’s odd-even policy,"Nagma Abbasi works for an NGO and is on a 15-day leave so that she can volunteer for the 15-day odd-even programme. She holds a large placard that says, “Main banaoonga pollution-free Delhi (I will make Delhi pollution-free)”. The gender in the slogan is incorrect, but Nagma Abbasi has larger things to worry about."
574,Food trend forecast,"The release of Jon Favreau’s Chef in 2014 romanticised the food truck industry somewhat. Whether it was the movie or a genuine demand for street food, the food truck business has been on the rise. The Grassy Hopper and KuYa, though starting off solely as food trucks, have laid down more concrete...."
